Layout_Net                              Source_Net                              C_Total(F)           CC_Total(F)          C+CC_Total(F)        
aclk                                    aclk                                    1.74727E-16          8.53142E-16          1.02787E-15          
set_rst                                 set_rst                                 1.74231E-16          8.52250E-16          1.02648E-15          
bleed_en                                bleed_en                                1.73567E-16          8.57660E-16          1.03123E-15          
clamp_ref<4>                            clamp_ref<4>                            1.73987E-16          8.53440E-16          1.02743E-15          
read_ref<0>                             read_ref<0>                             1.73567E-16          8.57660E-16          1.03123E-15          
clamp_ref<0>                            clamp_ref<0>                            1.73987E-16          8.53440E-16          1.02743E-15          
bl_en                                   bl_en                                   1.73567E-16          8.57660E-16          1.03123E-15          
bsl_dac_config<0>                       bsl_dac_config<0>                       1.73987E-16          8.53440E-16          1.02743E-15          
read_dac_config<0>                      read_dac_config<0>                      1.73567E-16          8.57660E-16          1.03123E-15          
rram_addr<12>                           rram_addr<12>                           1.73987E-16          8.53440E-16          1.02743E-15          
rram_addr<8>                            rram_addr<8>                            1.73567E-16          8.57660E-16          1.03123E-15          
rram_addr<4>                            rram_addr<4>                            1.73987E-16          8.53440E-16          1.02743E-15          
rram_addr<0>                            rram_addr<0>                            1.73567E-16          8.57660E-16          1.03123E-15          
wl_dac_config<4>                        wl_dac_config<4>                        1.73987E-16          8.53440E-16          1.02743E-15          
wl_dac_config<0>                        wl_dac_config<0>                        1.73567E-16          8.57660E-16          1.03123E-15          
di<44>                                  di<44>                                  1.73987E-16          8.53440E-16          1.02743E-15          
di<40>                                  di<40>                                  1.73567E-16          8.57660E-16          1.03123E-15          
di<36>                                  di<36>                                  1.73987E-16          8.53440E-16          1.02743E-15          
di<32>                                  di<32>                                  1.73567E-16          8.57660E-16          1.03123E-15          
di<28>                                  di<28>                                  1.73987E-16          8.53440E-16          1.02743E-15          
di<24>                                  di<24>                                  1.73567E-16          8.57660E-16          1.03123E-15          
di<20>                                  di<20>                                  1.73987E-16          8.53440E-16          1.02743E-15          
di<16>                                  di<16>                                  1.73567E-16          8.57660E-16          1.03123E-15          
di<12>                                  di<12>                                  1.73987E-16          8.53440E-16          1.02743E-15          
di<8>                                   di<8>                                   1.73567E-16          8.57660E-16          1.03123E-15          
di<4>                                   di<4>                                   1.73987E-16          8.53440E-16          1.02743E-15          
di<0>                                   di<0>                                   1.96943E-16          8.14636E-16          1.01158E-15          
sa_do<44>                               sa_do<44>                               6.12040E-17          1.34311E-15          1.40431E-15          
sa_do<40>                               sa_do<40>                               6.08583E-17          1.37211E-15          1.43297E-15          
sa_do<36>                               sa_do<36>                               6.10216E-17          1.34060E-15          1.40162E-15          
sa_do<32>                               sa_do<32>                               6.08583E-17          1.37211E-15          1.43297E-15          
sa_do<28>                               sa_do<28>                               6.10216E-17          1.34060E-15          1.40162E-15          
sa_do<24>                               sa_do<24>                               6.08583E-17          1.37211E-15          1.43297E-15          
sa_do<20>                               sa_do<20>                               6.10216E-17          1.34060E-15          1.40162E-15          
sa_do<16>                               sa_do<16>                               6.08583E-17          1.37211E-15          1.43297E-15          
sa_do<12>                               sa_do<12>                               6.10216E-17          1.34060E-15          1.40162E-15          
sa_do<8>                                sa_do<8>                                6.08583E-17          1.37211E-15          1.43297E-15          
sa_do<4>                                sa_do<4>                                6.10216E-17          1.34060E-15          1.40162E-15          
sa_do<0>                                sa_do<0>                                6.11363E-17          1.37596E-15          1.43709E-15          
man                                     man                                     1.36151E-16          1.24161E-15          1.37776E-15          
we                                      we                                      1.36950E-16          1.21259E-15          1.34954E-15          
read_dac_en                             read_dac_en                             1.35417E-16          1.24100E-15          1.37642E-15          
clamp_ref<5>                            clamp_ref<5>                            1.36702E-16          1.21031E-15          1.34701E-15          
read_ref<1>                             read_ref<1>                             1.35417E-16          1.24100E-15          1.37642E-15          
clamp_ref<1>                            clamp_ref<1>                            1.36702E-16          1.21031E-15          1.34701E-15          
bsl_dac_config<4>                       bsl_dac_config<4>                       1.35417E-16          1.24100E-15          1.37642E-15          
bsl_dac_config<1>                       bsl_dac_config<1>                       1.36702E-16          1.21031E-15          1.34701E-15          
read_dac_config<1>                      read_dac_config<1>                      1.35417E-16          1.24100E-15          1.37642E-15          
rram_addr<13>                           rram_addr<13>                           1.36702E-16          1.21031E-15          1.34701E-15          
rram_addr<9>                            rram_addr<9>                            1.35417E-16          1.24100E-15          1.37642E-15          
